from,moved
https://www.azion.com/pt-br/documentacao/produtos/network-layer-protection/,https://www.azion.com/pt-br/documentacao/produtos/edge-firewall/network-layer-protection/
https://www.azion.com/pt-br/documentacao/produtos/real-time-metrics-historico/primeiros-passos,https://www.azion.com/pt-br/documentacao/produtos/observe/real-time-metrics-historico/
https://www.azion.com/pt-br/documentacao/products/guides/personal-tokens/,https://www.azion.com/pt-br/documentacao/produtos/guias/personal-tokens/
https://www.azion.com/pt-br/documentacao/produtos/gestao-de-contas/criar-conta,https://www.azion.com/pt-br/documentacao/produtos/contas/criar-uma-conta/
https://www.azion.com/pt-br/docs/produtos/how-to/configuracoes/websocket/,https://www.azion.com/pt-br/documentacao/produtos/edge-application/websocket/
https://www.azion.com/pt-br/documentacao/produtos/support/,https://www.azion.com/pt-br/documentacao/servicos/suporte/
https://www.azion.com/pt-br/documentacao/produtos/edge-functions/runtime-apis/lua,https://www.azion.com/pt-br/documentacao/produtos/edge-application/edge-functions/runtime/visao-geral/
https://www.azion.com/pt-br/documentacao/produtos/guias/testes-ab/,https://www.azion.com/pt-br/documentacao/produtos/guias/ab-testing/
https://www.azion.com/pt-br/docs/produtos/support/,https://www.azion.com/pt-br/documentacao/servicos/suporte/
https://www.azion.com/pt-br/documentacao/produtos/edge-functions/,https://www.azion.com/pt-br/documentacao/produtos/edge-application/edge-functions/
https://www.azion.com/pt-br/documentacao/casos-de-uso/nextjs-na-plataforma-azion,https://www.azion.com/pt-br/documentacao/produtos/devtools/azion-edge-runtime/compatibilidade-frameworks/
https://www.azion.com/pt-br/documentacao/produtos/edge-functions/debugging/,https://www.azion.com/pt-br/documentacao/produtos/edge-application/edge-functions/debugging/
https://www.azion.com/pt-br/documentacao/produtos/edge-application/edge-functions/javascript-runtime-apis/encoding/,https://www.azion.com/pt-br/documentacao/produtos/edge-application/edge-functions/runtime-apis/javascript/encoding/
https://www.azion.com/pt-br/documentacao/casos-de-uso/testes-ab,https://www.azion.com/pt-br/documentacao/produtos/guias/ab-testing/
https://www.azion.com/pt-br/documentation/services/support/,https://www.azion.com/pt-br/documentacao/servicos/suporte/
https://www.azion.com/pt-br/documentacao/produtos/edge-application/edge-functions/runtime-apis/,https://www.azion.com/pt-br/documentacao/produtos/edge-application/edge-functions/runtime/visao-geral/
https://www.azion.com/pt-br/documentacao/produtos/how-to/configuracoes/websocket,https://www.azion.com/pt-br/documentacao/produtos/edge-application/websocket/
